<strong>ID</strong><strong>	ORF</strong><strong>	RANGE_GB</strong><strong>	GeneSymbol</strong><strong>	GeneType</strong><strong>	RANGE_START</strong><strong>	RANGE_END</strong><strong>	RANGE_STRAND</strong>
205	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S57	Inter	150362	150442	1
206	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01450[gene]">BSU01450</a>	AL009126.3	ybxA		150443	151288	1
207	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01460[gene]">BSU01460</a>	AL009126.3	ybaE		151303	152133	1
208	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01470[gene]">BSU01470</a>	AL009126.3	ybaF		152130	152927	1
209	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01480[gene]">BSU01480</a>	AL009126.3	truA		152937	153680	1
210	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S58	Indep-NT	153039	153507	-1
211	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01490[gene]">BSU01490</a>	AL009126.3	rplM		153842	154279	1
212	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01500[gene]">BSU01500</a>	AL009126.3	rpsI		154300	154692	1
213	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S59	5'UTR	154838	155119	1
214	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01510[gene]">BSU01510</a>	AL009126.3	ybaJ		155156	155923	1
215	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01520[gene]">BSU01520</a>	AL009126.3	ybaK		156109	156552	1
216	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01530[gene]">BSU01530</a>	AL009126.3	cwlD		156612	157325	1
217	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01540[gene]">BSU01540</a>	AL009126.3	salA		157421	158479	1
218	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S60	3'NT	158050	158514	-1
219	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S61	Inter	158510	159181	1
220	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01550[gene]">BSU01550</a>	AL009126.3	gerD		158515	159072	-1
221	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S62	3'NT	159149	159778	-1
222	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01560[gene]">BSU01560</a>	AL009126.3	kbaA		159182	159778	1
223	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01570[gene]">BSU01570</a>	AL009126.3	ybaN		159779	160543	-1
224	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S63	Inter	159779	160673	1
225	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S64	5'UTR	160675	160892	1
226	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	trnI-Thr		165830	165902	1
227	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S65	Inter	176316	176924	1
228	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S66	5'UTR	176926	177082	1
229	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01580[gene]">BSU01580</a>	AL009126.3	ybaR		177083	178519	1
230	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01590[gene]">BSU01590</a>	AL009126.3	ybaS		178665	179585	1
231	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01600[gene]">BSU01600</a>	AL009126.3	ybbA		179595	180347	-1
232	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01610[gene]">BSU01610</a>	AL009126.3	feuC		180344	181354	-1
233	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01620[gene]">BSU01620</a>	AL009126.3	feuB		181347	182351	-1
234	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01630[gene]">BSU01630</a>	AL009126.3	feuA		182370	183323	-1
235	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01640[gene]">BSU01640</a>	AL009126.3	ybbB		183414	185003	-1
236	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01650[gene]">BSU01650</a>	AL009126.3	ybbC		185194	186438	-1
237	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01660[gene]">BSU01660</a>	AL009126.3	ybbD		186452	188380	-1
238	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01670[gene]">BSU01670</a>	AL009126.3	ybbE		188408	189733	-1
239	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01680[gene]">BSU01680</a>	AL009126.3	ybbF		189790	191157	-1
240	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01690[gene]">BSU01690</a>	AL009126.3	ybbH		191183	192034	-1
241	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01700[gene]">BSU01700</a>	AL009126.3	murQ		192051	192965	-1
242	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01710[gene]">BSU01710</a>	AL009126.3	ybbJ		193075	193557	-1
243	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01720[gene]">BSU01720</a>	AL009126.3	ybbK		193570	194025	-1
244	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S67	Inter	194669	194786	1
245	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01730[gene]">BSU01730</a>	AL009126.3	sigW		194849	195412	1
246	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01740[gene]">BSU01740</a>	AL009126.3	rsiW		195426	196052	1
247	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S68	5'UTR	196132	196212	1
248	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01750[gene]">BSU01750</a>	AL009126.3	ybbP		196213	197034	1
249	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01760[gene]">BSU01760</a>	AL009126.3	ybbR		197027	198478	1
250	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01770[gene]">BSU01770</a>	AL009126.3	glmM		198497	199843	1
251	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S69	Intra	200188	200276	1
252	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01780[gene]">BSU01780</a>	AL009126.3	glmS		200277	202079	1
253	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S70	3'NT	201802	202546	-1
254	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01800[gene]">BSU01800</a>	AL009126.3	alkA		202547	203458	-1
255	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01810[gene]">BSU01810</a>	AL009126.3	adaA		203729	204364	1
256	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01820[gene]">BSU01820</a>	AL009126.3	adaB		204351	204890	1
257	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S71	Inter	204891	204975	1
258	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S72	Indep	204977	205210	1
259	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S73	Inter	205212	205408	1
260	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01830[gene]">BSU01830</a>	AL009126.3	ndhF		205409	206926	1
261	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01845[gene]">BSU01845</a>	AL009126.3	ybcC		206941	209556	1
262	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S74	Intra	209557	209632	1
263	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01860[gene]">BSU01860</a>	AL009126.3	ybcF		209633	210160	1
264	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01870[gene]">BSU01870</a>	AL009126.3	ybcH		210224	210514	1
265	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01880[gene]">BSU01880</a>	AL009126.3	ybcI		210572	210946	1
266	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S75	Inter	210947	211412	1
267	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01889[gene]">BSU01889</a>	AL009126.3	ybzH		211429	211731	1
268	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S76	Inter	211769	211858	1
269	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01890[gene]">BSU01890</a>	AL009126.3	ybcL		211859	213031	1
270	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01900[gene]">BSU01900</a>	AL009126.3	ybcM		213155	213469	1
271	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S77	5'UTR	213878	213940	1
272	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01910[gene]">BSU01910</a>	AL009126.3	skfA		213941	214108	1
273	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01920[gene]">BSU01920</a>	AL009126.3	skfB		214175	215407	1
274	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01935[gene]">BSU01935</a>	AL009126.3	skfC		215404	216894	1
275	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01950[gene]">BSU01950</a>	AL009126.3	skfE		216913	217632	1
276	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01960[gene]">BSU01960</a>	AL009126.3	skfF		217697	219040	1
277	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01970[gene]">BSU01970</a>	AL009126.3	skfG		219087	219602	1
278	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01980[gene]">BSU01980</a>	AL009126.3	skfH		219607	220032	1
279	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S78	3'UTR	220033	220103	1
280	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S79	Inter	220105	220278	1
281	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01990[gene]">BSU01990</a>	AL009126.3	ybdG		220279	221256	1
282	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02000[gene]">BSU02000</a>	AL009126.3	ybdJ		221258	221929	1
283	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02010[gene]">BSU02010</a>	AL009126.3	ybdK		221950	222912	1
284	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02019[gene]">BSU02019</a>	AL009126.3	ybzI		222971	223234	1
285	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02030[gene]">BSU02030</a>	AL009126.3	ybdM		223219	223989	-1
286	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02040[gene]">BSU02040</a>	AL009126.3	ybdN		224075	224932	-1
287	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02050[gene]">BSU02050</a>	AL009126.3	ybdO		225064	226248	1
288	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S80	5'UTR	226436	226565	1
289	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02060[gene]">BSU02060</a>	AL009126.3	ybxG		226566	227954	1
290	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02070[gene]">BSU02070</a>	AL009126.3	csgA		228066	228314	1
291	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02080[gene]">BSU02080</a>	AL009126.3	ybxH		228331	228522	1
292	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02090[gene]">BSU02090</a>	AL009126.3	ybxI		228549	229352	-1
293	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02100[gene]">BSU02100</a>	AL009126.3	cypC		229525	230778	1
294	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02110[gene]">BSU02110</a>	AL009126.3	ybyB		230819	231079	-1
295	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02120[gene]">BSU02120</a>	AL009126.3	ybeC		231348	232967	1
296	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02130[gene]">BSU02130</a>	AL009126.3	glpQ		233014	233895	-1
297	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02140[gene]">BSU02140</a>	AL009126.3	glpT		233994	235328	-1
298	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S81	Indep	234998	235624	1
299	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S82	5'UTR	235329	235401	-1
300	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S83	5'UTR	235403	235489	-1
301	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02150[gene]">BSU02150</a>	AL009126.3	ybeF		235625	235873	1
302	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02160[gene]">BSU02160</a>	AL009126.3	ybfA		235965	236882	1
303	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02170[gene]">BSU02170</a>	AL009126.3	ybfB		236879	238129	1
304	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02180[gene]">BSU02180</a>	AL009126.3	ybfE		238164	238448	-1
305	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S84	5'UTR	238449	238569	-1
306	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S85	Inter	238571	238643	-1
307	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02190[gene]">BSU02190</a>	AL009126.3	ybfF		238644	239555	-1
308	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S86	Intra	239556	239643	-1
309	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02200[gene]">BSU02200</a>	AL009126.3	ybfG		239644	241842	-1
310	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02210[gene]">BSU02210</a>	AL009126.3	ybfH		241917	242837	-1
311	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02220[gene]">BSU02220</a>	AL009126.3	ybfI		242834	243661	-1
312	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02230[gene]">BSU02230</a>	AL009126.3	purT		243892	245046	1
313	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02240[gene]">BSU02240</a>	AL009126.3	mpr		245190	246131	1
314	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02250[gene]">BSU02250</a>	AL009126.3	ybfJ		246094	246492	1
315	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S87	5'UTR	246583	246657	1
316	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02260[gene]">BSU02260</a>	AL009126.3	ybfK		246658	247548	1
317	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S88	Intra	247549	247743	1
318	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02270[gene]">BSU02270</a>	AL009126.3	pssA		247744	248277	1
319	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02280[gene]">BSU02280</a>	AL009126.3	ybfM		248268	248756	1
320	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02290[gene]">BSU02290</a>	AL009126.3	psd		248749	249540	1
321	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02300[gene]">BSU02300</a>	AL009126.3	ybfN		249595	249873	1
322	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02310[gene]">BSU02310</a>	AL009126.3	ybfO		249979	251319	1
323	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02320[gene]">BSU02320</a>	AL009126.3	ybfP		251427	252314	1
324	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S89	Inter	252315	252458	1
325	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02330[gene]">BSU02330</a>	AL009126.3	ybfQ		252514	253482	1
326	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02340[gene]">BSU02340</a>	AL009126.3	gltP		253518	254762	-1
327	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02350[gene]">BSU02350</a>	AL009126.3	nagP		254907	256802	-1
328	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02360[gene]">BSU02360</a>	AL009126.3	nagBB		256823	257572	-1
329	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S90	5'UTR	257545	257726	1
330	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S91	5'UTR	257573	257643	-1
331	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02370[gene]">BSU02370</a>	AL009126.3	ybgA		257791	258498	1
332	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02380[gene]">BSU02380</a>	AL009126.3	ybgB		258532	258807	1
333	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S92	5'UTR	258887	259015	1
334	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02390[gene]">BSU02390</a>	AL009126.3	ilvE		259016	260086	1
335	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02400[gene]">BSU02400</a>	AL009126.3	ybgF		260123	261535	-1
336	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S93	5'UTR	261536	261647	-1
337	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02410[gene]">BSU02410</a>	AL009126.3	ybgG		261656	262603	-1
338	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02420[gene]">BSU02420</a>	AL009126.3	glnT		262732	264168	-1
339	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02430[gene]">BSU02430</a>	AL009126.3	glsA		264191	265174	-1
340	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02440[gene]">BSU02440</a>	AL009126.3	glnJ		265476	266708	1
341	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02450[gene]">BSU02450</a>	AL009126.3	glnL		266719	267663	1
342	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S94	5'UTR	267772	267889	1
343	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02460[gene]">BSU02460</a>	AL009126.3	ycbC		267890	268816	1
344	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02470[gene]">BSU02470</a>	AL009126.3	ycbD		268846	270312	1
345	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02480[gene]">BSU02480</a>	AL009126.3	gudP		270396	271763	1
346	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02490[gene]">BSU02490</a>	AL009126.3	gudD		271800	273167	1
347	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02500[gene]">BSU02500</a>	AL009126.3	ycbG		273237	273938	1
348	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02510[gene]">BSU02510</a>	AL009126.3	garD		274029	275561	1
349	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S95	5'UTR	275603	275837	1
350	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02520[gene]">BSU02520</a>	AL009126.3	ycbJ		275838	276758	1
351	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3			276815	277062	1
352	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02530[gene]">BSU02530</a>	AL009126.3	rtpA		277160	277321	1
353	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02540[gene]">BSU02540</a>	AL009126.3	ycbK		277342	278280	1
354	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S96	5'UTR	278308	278376	1
355	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02550[gene]">BSU02550</a>	AL009126.3	ycbL		278377	279057	1
356	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02560[gene]">BSU02560</a>	AL009126.3	ycbM		279059	279994	1
357	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02570[gene]">BSU02570</a>	AL009126.3	ycbN		280086	281009	1
358	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S97	3'PT	280556	281740	-1
359	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02580[gene]">BSU02580</a>	AL009126.3	ycbO		281028	281714	1
360	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02590[gene]">BSU02590</a>	AL009126.3	ycbP		281769	282155	-1
361	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S98	5'UTR	282233	283231	-1
362	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02600[gene]">BSU02600</a>	AL009126.3	cwlJ		282469	282897	1
363	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02610[gene]">BSU02610</a>	AL009126.3	ycbR		283003	283734	1
364	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02619[gene]">BSU02619</a>	AL009126.3	yczK		283816	283992	1
365	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02620[gene]">BSU02620</a>	AL009126.3	phoD		284011	285762	1
366	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02630[gene]">BSU02630</a>	AL009126.3	tatAD		285775	285987	1
367	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S99	Intra	285988	286047	1
368	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02640[gene]">BSU02640</a>	AL009126.3	tatCD		286048	286776	1
369	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02650[gene]">BSU02650</a>	AL009126.3	pcp		286773	287420	-1
370	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02660[gene]">BSU02660</a>	AL009126.3	ycbU		287499	288611	1
371	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02670[gene]">BSU02670</a>	AL009126.3	lmrB		288653	290092	-1
372	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02680[gene]">BSU02680</a>	AL009126.3	lmrA		290132	290698	-1
373	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02690[gene]">BSU02690</a>	AL009126.3	ansZ		290915	292042	1
374	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02700[gene]">BSU02700</a>	AL009126.3	estA		292205	292843	1
375	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S100	Inter	292874	293464	1
376	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02710[gene]">BSU02710</a>	AL009126.3	yczC		292881	293264	-1
377	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02720[gene]">BSU02720</a>	AL009126.3	yccF		293499	294575	1
378	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02730[gene]">BSU02730</a>	AL009126.3	natK		294615	295571	-1
379	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02740[gene]">BSU02740</a>	AL009126.3	natR		295584	296285	-1
380	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02750[gene]">BSU02750</a>	AL009126.3	natA		296429	297169	1
381	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02760[gene]">BSU02760</a>	AL009126.3	natB		297170	298330	1
382	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02770[gene]">BSU02770</a>	AL009126.3	yccK		298466	299398	1
383	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02780[gene]">BSU02780</a>	AL009126.3	ycdA		299438	300502	-1
384	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S101	5'UTR	300503	300693	-1
385	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02790[gene]">BSU02790</a>	AL009126.3	ycdB		300830	302248	1
386	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S102	5'UTR	302355	302434	1
387	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02800[gene]">BSU02800</a>	AL009126.3	ycdC		302435	303796	1
388	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S103	Inter	303797	304377	1
389	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02810[gene]">BSU02810</a>	AL009126.3	cwlK		303804	304307	-1
390	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S104	5'UTR	304308	304389	-1
391	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02820[gene]">BSU02820</a>	AL009126.3	rapJ		304430	305551	1
392	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02830[gene]">BSU02830</a>	AL009126.3	ycdF		305658	306434	1
393	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02840[gene]">BSU02840</a>	AL009126.3	ycdG		306459	308144	1
394	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02850[gene]">BSU02850</a>	AL009126.3	adcA		308332	309291	1
395	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02860[gene]">BSU02860</a>	AL009126.3	adcC		309347	310042	1
396	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02870[gene]">BSU02870</a>	AL009126.3	adcB		310000	310842	1
397	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02880[gene]">BSU02880</a>	AL009126.3	yceB		310880	311875	-1
398	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S105	5'UTR	311859	312061	1
399	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S106	5'UTR	312063	312158	1
400	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02890[gene]">BSU02890</a>	AL009126.3	yceC		312159	312758	1
401	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02900[gene]">BSU02900</a>	AL009126.3	yceD		312780	313361	1
402	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02910[gene]">BSU02910</a>	AL009126.3	yceE		313396	313974	1
403	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02920[gene]">BSU02920</a>	AL009126.3	yceF		314025	314798	1
404	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02930[gene]">BSU02930</a>	AL009126.3	yceG		314883	316496	1
405	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02940[gene]">BSU02940</a>	AL009126.3	yceH		316512	317603	1
406	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02950[gene]">BSU02950</a>	AL009126.3	yceI		317725	318927	1
407	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU02960[gene]">BSU02960</a>	AL009126.3	yceJ		319180	320352	-1
